title,url,summary,image_url,publish_time,category
6 ‘con rồng’ công nghệ Hàng Châu,https://znews.vn/6-con-rong-cong-nghe-hang-chau-post1532667.html,"Nếu Thâm Quyến là trung tâm phần cứng, Bắc Kinh là cái nôi của AI và phần mềm, Hàng Châu sẽ là thế lực công nghệ mới nhờ sự xuất hiện của DeepSeek, Unitree và 4 cái tên đình đám khác.",https://photo.znews.vn/w1000/Uploaded/spluaaa/2025_02_19/24f53f98_fd91_11e6_bf00_4be039112d75_1320x770_jpg.jpg,10:03 20/2/2025,Công nghệ
"Pi Network chính thức ra mắt, giá chỉ còn hơn 1 USD",https://znews.vn/dong-pi-chinh-thuc-ra-mat-post1532965.html,"Pi Coin ra mắt trên OKX với mức giá khởi điểm 1,50 USD. Tuy nhiên, chỉ trong vài phút sau khi mở giao dịch, giá nhanh chóng vượt mốc 2 USD rồi trở lại 1,4 USD.",https://photo.znews.vn/w480/Uploaded/spluaaa/2025_02_20/Pi_network_thumb_jpg.jpg,20 giờ trước,Công nghệ
Giá Pi Network biến động trước ‘giờ G’,https://znews.vn/gia-dong-pi-bien-dong-truoc-gio-g-post1532935.html,"Trước thềm mở mạng, giá đồng Pi tăng mạnh sau khi một sàn giao dịch lớn xác nhận niêm yết cặp giao dịch PI/USDT.",https://photo.znews.vn/w480/Uploaded/spluaaa/2025_02_20/202411221945_main_jpg.jpg,22 giờ trước,Công nghệ
"Pi giảm mạnh, dân đào Việt Nam dặn nhau đừng bán",https://znews.vn/nguoi-choi-pi-mang-tam-ly-om-khong-ban-post1533001.html,"Những người sở hữu Pi kêu gọi nhau giữ chặt đồng coin này, không bán ra quá sớm.",https://photo.znews.vn/w480/Uploaded/spluaaa/2025_02_20/What_to_Expect_From_the_Pi_Netwo_jpg.jpg,6 giờ trước,Công nghệ
iPhone 16e là chiếc điện thoại gây bối rối nhất mà Apple từng ra mắt,https://znews.vn/iphone-16e-la-chiec-dien-thoai-gay-boi-roi-nhat-ma-apple-tung-ra-mat-post1532892.html,"iPhone 16e, model giá rẻ thuộc dòng iPhone 16 vượt trội và đặc biệt là rẻ hơn so với các mẫu iPhone 15 về mọi mặt.",https://photo.znews.vn/w480/Uploaded/ivpbciv2/2025_02_20/tai_xuong_2025_02_20T085051.510.jpeg,2 giờ trước,Công nghệ
Thấy gì từ thiết kế bị rò rỉ của iPhone 17?,https://znews.vn/thay-gi-tu-thiet-ke-bi-ro-ri-cua-iphone-17-post1532834.html,"Thay vì cải thiện các mô hình AI của mình, dường như Apple lại quyết định thực hiện một thay đổi bằng cách sao chép thiết kế của Google Pixel với dòng iPhone 17.",https://photo.znews.vn/w480/Uploaded/ivpbciv2/2025_02_18/tai_xuong_2025_02_19T214122.601.jpeg,4 giờ trước,Công nghệ
"Ra mắt 1 tuần, nền tảng hỏi đáp tiếng Việt nhận gần nửa triệu câu hỏi",https://znews.vn/ra-mat-1-tuan-nen-tang-hoi-dap-tieng-viet-nhan-gan-nua-trieu-cau-hoi-post1532949.html,"Trong dịp Tết Ất Tỵ, nền tảng hỏi đáp tiếng Việt Kiki Info đã ghi nhận đạt gần 500.000 câu hỏi, hỗ trợ người dùng giải đáp nhiều vấn đề thiết yếu trong đời sống.",https://photo.znews.vn/w480/Uploaded/lce_qjdql/2025_02_20/Kiki_Info_01.jpg,2 giờ trước,Công nghệ
Dấu chấm hết cho Touch ID trên iPhone,https://znews.vn/dau-cham-het-cho-touch-id-tren-iphone-post1533016.html,"Ra mắt iPhone 16e, Apple đã chính thức khép lại chương cuối cùng của Touch ID trên dòng iPhone, nhường chỗ cho công nghệ nhận diện khuôn mặt Face ID.",https://photo.znews.vn/Uploaded/spluaaa/2025_02_20/apple_event_iphone_se_3_ipad_air_5_32_jpg.jpg,5 giờ trước,Mobile
Oppo ra mắt smartphone gập mỏng như điện thoại thường,https://znews.vn/oppo-ra-mat-smartphone-gap-mong-nhu-dien-thoai-thuong-post1533019.html,"Dòng Find N5 của Oppo thu gọn độ dày, khi gập lại vẫn chỉ tương đương một sản phẩm bình thường.",https://photo.znews.vn/Uploaded/sfrsm/2025_02_20/Find_N5_Handson_16.jpg,16 giờ trước,Mobile
"Thay đổi quan trọng, nhưng vô hình trên iPhone 16e",https://znews.vn/nang-cap-lon-tren-iphone-16e-ma-nguoi-dung-khong-thay-post1532889.html,"iPhone 16e là thiết bị đầu tiên dùng modem 5G do Apple tự phát triển, bước tiến lớn trong chiến lược thoát phụ thuộc Qualcomm.",https://photo.znews.vn/Uploaded/yqdlcqrwq/2025_02_20/07220022025.jpg,10:50 20/2/2025,Mobile
Điều Apple không nói khi giới thiệu iPhone 16e,https://znews.vn/dieu-apple-khong-noi-khi-gioi-thieu-iphone-16e-post1532848.html,"Táo khuyết cắt giảm, dùng linh kiện cũ cho nhiều bộ phận của iPhone 16e, khiến điện thoại mới thua thiệt khi đặt cạnh các model khác,",https://photo.znews.vn/Uploaded/ygtmvd/2025_02_20/apple_se_16e_01.jpg,09:00 20/2/2025,Mobile
iPhone 16e đắt hơn đời trước 4 triệu đồng,https://znews.vn/iphone-16e-dat-hon-doi-truoc-4-trieu-dong-post1532842.html,"Được xem là bản kế nhiệm của iPhone SE3, iPhone 16e lại đắt hơn thế hệ tiền nhiệm đến 4 triệu đồng.",https://photo.znews.vn/Uploaded/ygtmvd/2025_02_19/iPhone_16E_01.jpg,07:30 20/2/2025,Mobile
"Apple ra mắt iPhone 16e, giá từ 17 triệu",https://znews.vn/iphone-16e-ra-mat-gia-tu-17-trieu-dong-post1532841.html,"Phiên bản giá rẻ của iPhone 16 hỗ trợ Apple Intelligence, chip xử lý A18 với giá bán dễ tiếp cận.",https://photo.znews.vn/Uploaded/yqdlcqrwq/2025_02_19/06919022025.jpg,23:38 19/2/2025,Mobile
Dựa vào khoa học công nghệ VN mới có thể phát triển cùng thế giới,https://znews.vn/dua-vao-khoa-hoc-cong-nghe-vn-moi-co-the-phat-trien-cung-the-gioi-post1533032.html,"Theo Đại sứ Việt Nam tại Singapore, chỉ dựa vào đổi mới sáng tạo và khoa học công nghệ, Việt Nam mới có thể bắt kịp và phát triển cùng với thế giới.",https://photo.znews.vn/Uploaded/sfrsm/2025_02_20/singapore_95074.png,14 giờ trước,Công nghệ
